Date,Open,High,Low,Close,Adj Close,Volume
2017-10-19,10.790000,10.790000,10.790000,10.790000,10.695658,0
2017-10-20,10.760000,10.760000,10.760000,10.760000,10.665921,0
2017-10-23,10.770000,10.770000,10.770000,10.770000,10.675833,0
2017-10-24,10.750000,10.750000,10.750000,10.750000,10.656008,0
2017-10-25,10.740000,10.740000,10.740000,10.740000,10.646096,0
2017-10-26,10.720000,10.720000,10.720000,10.720000,10.626270,0
2017-10-27,10.740000,10.740000,10.740000,10.740000,10.646096,0
2017-10-30,10.770000,10.770000,10.770000,10.770000,10.675833,0
2017-10-31,10.770000,10.770000,10.770000,10.770000,10.697685,0
2017-11-01,10.770000,10.770000,10.770000,10.770000,10.697685,0
2017-11-02,10.780000,10.780000,10.780000,10.780000,10.707618,0
2017-11-03,10.790000,10.790000,10.790000,10.790000,10.717550,0
2017-11-06,10.800000,10.800000,10.800000,10.800000,10.727485,0
2017-11-07,10.800000,10.800000,10.800000,10.800000,10.727485,0
2017-11-08,10.790000,10.790000,10.790000,10.790000,10.717550,0
2017-11-09,10.780000,10.780000,10.780000,10.780000,10.707618,0
2017-11-10,10.740000,10.740000,10.740000,10.740000,10.667887,0
2017-11-13,10.740000,10.740000,10.740000,10.740000,10.667887,0
2017-11-14,10.750000,10.750000,10.750000,10.750000,10.677819,0
2017-11-15,10.770000,10.770000,10.770000,10.770000,10.697685,0
2017-11-16,10.750000,10.750000,10.750000,10.750000,10.677819,0
2017-11-17,10.760000,10.760000,10.760000,10.760000,10.687753,0
2017-11-20,10.750000,10.750000,10.750000,10.750000,10.677819,0
2017-11-21,10.760000,10.760000,10.760000,10.760000,10.687753,0
2017-11-22,10.780000,10.780000,10.780000,10.780000,10.707618,0
2017-11-24,10.770000,10.770000,10.770000,10.770000,10.697685,0
2017-11-27,10.770000,10.770000,10.770000,10.770000,10.697685,0
2017-11-28,10.770000,10.770000,10.770000,10.770000,10.697685,0
2017-11-29,10.750000,10.750000,10.750000,10.750000,10.677819,0
2017-11-30,10.730000,10.730000,10.730000,10.730000,10.679810,0
2017-12-01,10.760000,10.760000,10.760000,10.760000,10.709670,0
2017-12-04,10.760000,10.760000,10.760000,10.760000,10.709670,0
2017-12-05,10.770000,10.770000,10.770000,10.770000,10.719624,0
2017-12-06,10.780000,10.780000,10.780000,10.780000,10.729577,0
2017-12-07,10.770000,10.770000,10.770000,10.770000,10.719624,0
2017-12-08,10.760000,10.760000,10.760000,10.760000,10.709670,0
2017-12-11,10.750000,10.750000,10.750000,10.750000,10.699717,0
2017-12-12,10.750000,10.750000,10.750000,10.750000,10.699717,0
2017-12-13,10.780000,10.780000,10.780000,10.780000,10.729577,0
2017-12-14,10.780000,10.780000,10.780000,10.780000,10.729577,0
2017-12-15,10.780000,10.780000,10.780000,10.780000,10.729577,0
2017-12-18,10.760000,10.760000,10.760000,10.760000,10.709670,0
2017-12-19,10.730000,10.730000,10.730000,10.730000,10.679810,0
2017-12-20,10.700000,10.700000,10.700000,10.700000,10.649951,0
2017-12-21,10.710000,10.710000,10.710000,10.710000,10.659904,0
2017-12-22,10.710000,10.710000,10.710000,10.710000,10.664884,0
2017-12-26,10.720000,10.720000,10.720000,10.720000,10.674842,0
2017-12-27,10.750000,10.750000,10.750000,10.750000,10.704715,0
2017-12-28,10.740000,10.740000,10.740000,10.740000,10.694757,0
2017-12-29,10.750000,10.750000,10.750000,10.750000,10.727689,0
2018-01-02,10.720000,10.720000,10.720000,10.720000,10.697751,0
2018-01-03,10.730000,10.730000,10.730000,10.730000,10.707729,0
2018-01-04,10.730000,10.730000,10.730000,10.730000,10.707729,0
2018-01-05,10.720000,10.720000,10.720000,10.720000,10.697751,0
2018-01-08,10.720000,10.720000,10.720000,10.720000,10.697751,0
2018-01-09,10.680000,10.680000,10.680000,10.680000,10.657834,0
2018-01-10,10.680000,10.680000,10.680000,10.680000,10.657834,0
2018-01-11,10.690000,10.690000,10.690000,10.690000,10.667812,0
2018-01-12,10.690000,10.690000,10.690000,10.690000,10.667812,0
2018-01-16,10.700000,10.700000,10.700000,10.700000,10.677792,0
2018-01-17,10.680000,10.680000,10.680000,10.680000,10.657834,0
2018-01-18,10.650000,10.650000,10.650000,10.650000,10.627895,0
2018-01-19,10.630000,10.630000,10.630000,10.630000,10.607938,0
2018-01-22,10.630000,10.630000,10.630000,10.630000,10.607938,0
2018-01-23,10.650000,10.650000,10.650000,10.650000,10.627895,0
2018-01-24,10.630000,10.630000,10.630000,10.630000,10.607938,0
2018-01-25,10.660000,10.660000,10.660000,10.660000,10.637876,0
2018-01-26,10.640000,10.640000,10.640000,10.640000,10.617917,0
2018-01-29,10.620000,10.620000,10.620000,10.620000,10.597959,0
2018-01-30,10.600000,10.600000,10.600000,10.600000,10.578000,0
